image type	percentage similarity	computational time
test\life.JPEG	4	0.11500000953674316
test\malcomx.jpg	4	1.4690001010894775
test\prayer_45.png	4	0.8059999942779541
test\prayer_blurred.jpg	7	0.13299989700317383
test\rose_90.jpg	3	0.497999906539917
test\rose_blurred.jpg	5	0.10899996757507324
image type	percentage similarity	computational time
test\condame.jpg	100	0.502000093460083
test\condame_45.png	74	0.5900001525878906
test\condame_90.jpg	86	0.375
test\condame_cropped.jpg	95	0.39499998092651367
test\life.JPEG	4	0.12599992752075195
test\malcomx.jpg	4	1.4860000610351562
test\prayer_45.png	4	0.8600001335144043
test\prayer_blurred.jpg	7	0.127000093460083
test\rose_90.jpg	3	0.49699997901916504
test\rose_blurred.jpg	5	0.10899996757507324
image type	percentage similarity	computational time
test\condame.jpg	100	0.36300015449523926
test\condame_45.png	74	0.39300012588500977
test\condame_90.jpg	86	0.5019998550415039
test\condame_cropped.jpg	95	0.5039999485015869
test\life.JPEG	4	0.1640000343322754
test\malcomx.jpg	4	2.0190000534057617
test\prayer_45.png	4	1.0800001621246338
test\prayer_blurred.jpg	7	0.14100003242492676
test\rose_90.jpg	3	0.4869999885559082
test\rose_blurred.jpg	5	0.10899996757507324
image type	percentage similarity	computational time
test\condame.jpg	100	0.3659999370574951
test\condame_45.png	81	0.4049999713897705
test\condame_90.jpg	89	0.3659999370574951
test\condame_cropped.jpg	96	0.4139997959136963
test\life.JPEG	12	0.13000011444091797
test\malcomx.jpg	13	1.49399995803833
test\prayer_45.png	12	1.0989999771118164
test\prayer_blurred.jpg	16	0.18000006675720215
test\rose_90.jpg	11	0.7009999752044678
test\rose_blurred.jpg	14	0.10899996757507324
image type	percentage similarity	computational time
test\condame.jpg	100	0.3619999885559082
test\condame_45.png	81	0.41100001335144043
test\condame_90.jpg	89	0.3680000305175781
test\condame_cropped.jpg	96	0.3900001049041748
test\life.JPEG	12	0.1399998664855957
test\malcomx.jpg	13	1.4580001831054688
test\prayer_45.png	12	0.8139998912811279
test\prayer_blurred.jpg	16	0.125
test\rose_90.jpg	11	0.5060000419616699
test\rose_blurred.jpg	14	0.1099998950958252
image type	percentage similarity	computational time
test\condame.jpg	100	0.47300004959106445
test\condame_45.png	81	0.5289998054504395
test\condame_90.jpg	89	0.3469998836517334
test\condame_cropped.jpg	96	0.3989999294281006
test\life.JPEG	12	0.13499999046325684
test\malcomx.jpg	13	1.4830000400543213
test\prayer_45.png	12	0.8650000095367432
test\prayer_blurred.jpg	16	0.13700008392333984
test\rose_90.jpg	11	0.48600006103515625
test\rose_blurred.jpg	14	0.10199999809265137
image type	percentage similarity	computational time
test\condame.jpg	100	0.3580000400543213
test\condame_45.png	88	0.5039999485015869
test\condame_90.jpg	93	0.4549999237060547
test\condame_cropped.jpg	97	0.48799991607666016
test\life.JPEG	36	0.15599989891052246
test\malcomx.jpg	37	1.9249999523162842
test\prayer_45.png	34	0.7929999828338623
test\prayer_blurred.jpg	40	0.127000093460083
test\rose_90.jpg	36	0.4790000915527344
test\rose_blurred.jpg	39	0.09399986267089844
image type	percentage similarity	computational time
test\condame.jpg	100	0.35500001907348633
test\condame_45.png	88	0.39300012588500977
test\condame_90.jpg	93	0.3599998950958252
test\condame_cropped.jpg	97	0.37999987602233887
test\life.JPEG	36	0.1380000114440918
test\malcomx.jpg	37	2.015000104904175
test\prayer_45.png	34	1.0679998397827148
test\prayer_blurred.jpg	40	0.1700000762939453
test\rose_90.jpg	36	0.6700000762939453
test\rose_blurred.jpg	39	0.09500002861022949
image type	percentage similarity	computational time
test\condame.jpg	100	0.3640000820159912
test\condame_45.png	88	0.3970000743865967
test\condame_90.jpg	93	0.3619999885559082
test\condame_cropped.jpg	97	0.4160001277923584
test\life.JPEG	36	0.12400007247924805
test\malcomx.jpg	37	1.4750001430511475
test\prayer_45.png	34	0.7980000972747803
test\prayer_blurred.jpg	40	0.11599993705749512
test\rose_90.jpg	36	0.48399996757507324
test\rose_blurred.jpg	39	0.10899996757507324
