image name	percentage similarity	matching time	time_to_fetch_descriptors
original	100	0.007890939712524414	0.17695307731628418
rot_90	100	0.01263880729675293	0.1694350242614746
cropped	91	0.0071909427642822266	0.16451692581176758
lumino	88	0.008814811706542969	0.353640079498291
rot_45	86	0.0069580078125	0.21098804473876953
other1	60	0.004014015197753906	0.18114590644836426
other2	58	0.003936052322387695	0.347736120223999
other3	55	0.004094123840332031	0.01630997657775879
other4	53	0.004845142364501953	0.3480219841003418
0ther5	52	0.005766153335571289	0.20709991455078125
0ther6	50	0.005115032196044922	0.1780250072479248
other7	3	0.0009739398956298828	0.16209793090820312
other8	2	0.0007419586181640625	0.1694319248199463
other9	2	0.0007710456848144531	0.15985393524169922
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	100	0.0074100494384765625	0.1735551357269287
rot_90	100	0.00754094123840332	0.16957902908325195
cropped	98	0.00828099250793457	0.37416791915893555
lumino	97	0.008305072784423828	0.21408820152282715
rot_45	97	0.008933067321777344	0.16522979736328125
other1	93	0.005293130874633789	0.17247796058654785
other2	92	0.0052640438079833984	0.33457303047180176
other3	92	0.0055408477783203125	0.35559701919555664
other4	92	0.008633136749267578	0.20145511627197266
0ther5	92	0.0046961307525634766	0.017094850540161133
0ther6	88	0.005012035369873047	0.1808149814605713
other7	6	0.0008449554443359375	0.16816496849060059
other8	4	0.0007729530334472656	0.16251683235168457
other9	3	0.0007541179656982422	0.16965913772583008
