image name	matching time	time_to_fetch_descriptors
rot_45	13	4.900409936904907	4.223793029785156
blurred	2	0.37965917587280273	1.971879005432129
other1	2	0.8453941345214844	2.342128038406372
other2	2	1.2002341747283936	0.33567309379577637
other3	1	5.500622987747192	4.996380090713501
other4	1	0.7103350162506104	2.4726250171661377
0ther5	0	6.228119850158691	5.026221990585327
0ther6	0	7.4593188762664795	3.386568069458008
other7	0	6.437130928039551	3.686846971511841
other8	0	0.9766521453857422	2.400831937789917
other9	0	20.88853621482849	6.035778045654297
original	99	8.003997802734375	3.728865146636963
rot_90	99	8.22091007232666	3.3907411098480225
cropped	78	7.949152946472168	3.2335119247436523
lumino	20	24.050305128097534	5.361082077026367
rot_45	16	5.680960178375244	6.94561505317688
blurred	5	1.049872875213623	0.39925503730773926
other1	4	0.9497439861297607	2.4273810386657715
other2	3	0.4998738765716553	2.600774049758911
other3	3	0.8232870101928711	3.3390719890594482
other4	2	7.302373170852661	7.270998954772949
0ther5	2	6.545284032821655	6.092990875244141
0ther6	2	0.9300408363342285	2.6636340618133545
other7	1	8.659747838973999	4.498712062835693
other8	1	7.329113960266113	3.9842820167541504
other9	0	20.49857783317566	6.582442998886108
original	99	7.379613876342773	3.224256992340088
rot_90	99	8.931878089904785	3.9705328941345215
cropped	79	7.931201934814453	3.446096897125244
lumino	22	28.30173683166504	8.383883953094482
rot_45	21	5.255015850067139	4.598475933074951
blurred	10	1.0192489624023438	0.3278520107269287
other1	8	0.9775199890136719	2.6918890476226807
other2	7	0.8486130237579346	2.912856101989746
other3	6	0.44827890396118164	2.5852298736572266
other4	4	6.689981937408447	5.191372871398926
0ther5	4	13.143959045410156	4.8419129848480225
0ther6	4	5.8102898597717285	6.643611907958984
other7	4	7.352444171905518	3.7798590660095215
other8	4	0.8126399517059326	2.7376370429992676
other9	1	22.45419406890869	6.98498010635376
original	99	7.566159009933472	3.0954549312591553
rot_90	99	8.306674003601074	4.083906888961792
cropped	81	8.18291711807251	3.3114728927612305
lumino	27	4.881520986557007	4.831079959869385
rot_45	24	22.558205127716064	5.560258150100708
blurred	18	1.1072640419006348	0.3277549743652344
other1	15	0.7625579833984375	2.9888339042663574
other2	14	1.0327320098876953	3.4894680976867676
other3	12	0.38161206245422363	1.9871089458465576
other4	10	7.705255031585693	6.851441860198975
0ther5	10	6.747710943222046	5.591976881027222
0ther6	9	8.719976902008057	4.344299793243408
other7	9	6.945075988769531	3.88737416267395
other8	9	0.850316047668457	3.0884480476379395
other9	3	20.707278966903687	7.265405893325806
original	99	7.144551992416382	3.102025032043457
rot_90	99	8.737441062927246	4.4309141635894775
cropped	84	7.737836837768555	3.3356399536132812
lumino	40	4.981137990951538	4.864834785461426
rot_45	33	1.0486071109771729	0.3198249340057373
blurred	29	0.7973089218139648	3.142037868499756
other1	26	22.12708592414856	5.545880079269409
other2	25	0.8941318988800049	3.057239055633545
other3	23	0.4199330806732178	2.081578016281128
other4	23	6.765194892883301	5.3092429637908936
0ther5	23	6.207196950912476	6.4515039920806885
0ther6	21	8.152256965637207	4.157358884811401
other7	21	7.251292943954468	5.5074379444122314
other8	18	0.8228549957275391	2.602436065673828
other9	8	19.75593900680542	6.703300952911377
original	99	8.198130130767822	3.3046250343322754
rot_90	99	7.166792869567871	3.0560998916625977
cropped	88	7.576019048690796	3.250082015991211
lumino	61	5.60407018661499	4.85924506187439
rot_45	58	1.04451322555542	0.31775403022766113
blurred	52	0.7140181064605713	2.5605061054229736
other1	48	6.565069913864136	5.98110294342041
other2	48	5.672093868255615	4.910539865493774
other3	48	0.8404791355133057	2.353416919708252
other4	47	0.39947009086608887	2.0495569705963135
0ther5	47	7.271743059158325	4.066379070281982
0ther6	45	7.3930370807647705	3.459473133087158
other7	40	0.9551169872283936	2.597844123840332
other8	30	21.075582027435303	4.3184919357299805
other9	17	20.839972972869873	6.248073101043701
original	100	0.38980793952941895	2.0585989952087402
rot_90	100	4.905680894851685	4.2559239864349365
cropped	100	6.898060083389282	5.6133198738098145
lumino	100	5.6769819259643555	4.903876066207886
rot_45	100	0.8377840518951416	2.4910950660705566
blurred	100	0.7367501258850098	2.5404868125915527
other1	100	6.3982110023498535	3.697031021118164
other2	100	0.8033921718597412	2.4203169345855713
other3	100	1.012794017791748	0.3122539520263672
other4	99	7.363279104232788	3.149941921234131
0ther5	99	7.205168962478638	3.1126229763031006
0ther6	97	7.785995960235596	3.4251580238342285
other7	95	7.548619985580444	3.1564698219299316
other8	38	19.353036880493164	5.792503118515015
other9	36	20.548506021499634	4.3178489208221436
